"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Helsinki Kumpula","2024","1","2","02:00","-17.2","-17.1","-17.4"
"Helsinki Kumpula","2024","1","2","03:00","-17.2","-17.1","-17.4"
"Helsinki Kumpula","2024","1","2","04:00","-16.7","-16.4","-17.2"
"Helsinki Kumpula","2024","1","2","05:00","-16.1","-15.9","-16.4"
"Helsinki Kumpula","2024","1","2","06:00","-15.8","-15.7","-15.9"
"Helsinki Kumpula","2024","1","2","07:00","-15.8","-15.6","-15.9"
"Helsinki Kumpula","2024","1","2","08:00","-15.3","-15.1","-15.6"
"Helsinki Kumpula","2024","1","2","09:00","-15.9","-15.5","-16.1"
"Helsinki Kumpula","2024","1","2","10:00","-16.1","-15.9","-16.2"
"Helsinki Kumpula","2024","1","2","11:00","-16","-15.9","-16.3"
"Helsinki Kumpula","2024","1","2","12:00","-16.5","-16.3","-16.6"
"Helsinki Kumpula","2024","1","2","13:00","-16","-15.8","-16.4"
"Helsinki Kumpula","2024","1","2","14:00","-16.1","-15.8","-16.3"
"Helsinki Kumpula","2024","1","2","15:00","-16.4","-15.9","-16.8"
"Helsinki Kumpula","2024","1","2","16:00","-17.3","-16.8","-17.7"
"Helsinki Kumpula","2024","1","2","17:00","-18.1","-17.7","-18.4"
"Helsinki Kumpula","2024","1","2","18:00","-18.8","-18.4","-19.3"
"Helsinki Kumpula","2024","1","2","19:00","-19.4","-19.2","-19.6"
"Helsinki Kumpula","2024","1","2","20:00","-20","-19.7","-20.3"
"Helsinki Kumpula","2024","1","2","21:00","-20.4","-20.2","-20.5"
"Helsinki Kumpula","2024","1","2","22:00","-20.3","-20.3","-20.4"
"Helsinki Kumpula","2024","1","2","23:00","-20.5","-20.4","-20.6"
"Helsinki Kumpula","2024","1","3","00:00","-20.2","-19.7","-20.5"
"Helsinki Kumpula","2024","1","3","01:00","-19.1","-18.6","-19.7"
"Helsinki Kumpula","2024","1","3","02:00","-18.7","-18.2","-18.9"
"Helsinki Kumpula","2024","1","3","03:00","-18.1","-17.8","-18.5"
"Helsinki Kumpula","2024","1","3","04:00","-18.2","-17.9","-18.6"
"Helsinki Kumpula","2024","1","3","05:00","-17.5","-17","-17.9"
"Helsinki Kumpula","2024","1","3","06:00","-16.2","-15.8","-17"
"Helsinki Kumpula","2024","1","3","07:00","-16.1","-15.9","-16.3"
"Helsinki Kumpula","2024","1","3","08:00","-16.4","-16.2","-16.5"
"Helsinki Kumpula","2024","1","3","09:00","-16","-15.6","-16.3"
"Helsinki Kumpula","2024","1","3","10:00","-15.6","-15.5","-15.8"
"Helsinki Kumpula","2024","1","3","11:00","-16","-15.8","-16"
"Helsinki Kumpula","2024","1","3","12:00","-16","-15.9","-16.1"
"Helsinki Kumpula","2024","1","3","13:00","-16.3","-16.1","-16.4"
"Helsinki Kumpula","2024","1","3","14:00","-16.6","-16.3","-16.9"
